Title	Author	Date	Availability	Genre	Subgenre	Form	Regularisation	Nb of tokens (c.)	File	
LAODAMIE, REINE D'ÉPIRE, TRAGÉDIE.	Catherine BERNARD (1663?-1712)	1688	cc-by-nc-sa	theatre	tragedy	verse	yes	13487	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/TheatreClassique/BERNARD_LAODAMIE.xml	
LE MARIAGE DE SCARRON, COMÉDIE.	BARRÉ, RADET, DESFONTAINES.	1797	cc-by-nc-sa	theatre	other	mixed	yes	8810	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/TheatreClassique/BARREREDETDESFONTAINES_MARIGEDESCARRON.xml	
LA GÉNÉREUSE ALLEMANDE OU LE TRIOMPHE D'AMOUR, PROPHÉTIE.	MARESCHAL, André	1631	cc-by-nc-sa	theatre	tragicomedy	verse	yes	26176	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/TheatreClassique/MARESCHALA_GENEREUSEALLEMANDE2.xml	
IDOMÉNÉE, TRAGÉDIE.	Prosper Jolyot de CRÉBILLON (1674-1762)	1703	cc-by-nc-sa	theatre	tragedy	verse	yes	14314	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/TheatreClassique/CREBILLON_IDOMENEE.xml	
MOLIÈRE AU THÉÂTRE, À PROPOS	BORNIER, Henri de	1824	cc-by-nc-sa	theatre	comedy	verse	yes	7032	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/TheatreClassique/BAYART-ROMIEU_MOLIEREAUTHEATRE.xml	
L'AULULAIRE, TRAGÉDIE	PLAUTE	1865	cc-by-nc-sa	theatre	comedy	prose	yes	12039	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/TheatreClassique/PLAUTE_AULULAIRE.xml	
MOLIÈRE À VIENNE, COMÉDIE	PONSARD, François	1876	cc-by-nc-sa	theatre	comedy	prose	yes	11176	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/TheatreClassique/PONSART_MOLIEREAVIENNE.xml	
BRUNON, DRAME EN UN ACTE.	GARNIER, Charles-Georges-Thomas	1785	cc-by-nc-sa	theatre	other	prose	yes	4852	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/TheatreClassique/GARNIERT_BRUNON.xml	
LE NARCOTIQUE, COMÉDIE.	Tristan BERNARD (1866-1947)	1936	cc-by-nc-sa	theatre	comedy	prose	yes	2811	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/TheatreClassique/BERNARDT_NARCOTIQUE.xml	
MARIUS A CIRTE, TRAGÉDIE	HÉNAULT, Charles-Jean-François (1685-1770)	1702	cc-by-nc-sa	theatre	tragedy	verse	yes	13424	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/TheatreClassique/HENAULT_MARIUSACIRTE.xml	
LA MORT DE MOLIÈRE, PIÈCE EN QUATRE ACTES, EN VERS.	Michel de CUBIÈRES-PALMÉZEAUX (1752-1820)	1802	cc-by-nc-sa	theatre	comedy	verse	yes	17607	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/TheatreClassique/CUBIERES-PALMEZEAUX_MORTDEMOLIERE4A.xml	
SOLIMAN, OU L'ESCLAVE GÉNÉREUSE, TRAGÉDIE.	JAQUELIN	1653	cc-by-nc-sa	theatre	tragedy	verse	yes	17347	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/TheatreClassique/JAQUELIN_SOLIMAN.xml	
BONNE RENOMÉE VAUT MIEUX QUE CEINTURE DORÉE, PROVERBE.	DURANT, Catherine (16..-1736)	1699	cc-by-nc-sa	theatre	other	prose	yes	1258	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/TheatreClassique/DURANT_BONNERENOMMEE.xml	
ÉSOPE À LA COUR, COMÉDIE HÉROÏQUE	Edme BOURSAULT (1638-1701)	1701	cc-by-nc-sa	theatre	other	verse	yes	21519	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/TheatreClassique/BOURSAULT_ESOPE.xml	
LE FRANC-MAÇON PRISONNIER, DRAME.	Hans Heinrich VON ECKER UND ECKHOFFEN (1750-1790)	1777	cc-by-nc-sa	theatre	other	prose	yes	5181	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/TheatreClassique/ECKER_FRANCMACONPRISONNIER.xml	
LA CLOISON, BEAUCOUP DE PEINE POUR RIEN, COMÉDIE	Louis-François-Marie Bellin de La LIBORLIÈRE (1774-1847)	1803	ARR	theatre	comedy	prose	yes	8102	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/TheatreClassique/LIBORLIERE_CLOISON.xml	
DON JAPHET D'ARMÉNIE, COMÉDIE.	SCARRON, Paul	1653	cc-by-nc-sa	theatre	comedy	verse	yes	15247	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/TheatreClassique/SCARRON_DOMJAPHETDARMENIE.xml	
L'ENGAGEMENT TÉMÉRAIRE, COMÉDIE	ROUSSEAU, Jean-Jacques	1747	cc-by-nc-sa	theatre	other	verse	yes	8534	file:/Users/portizsu/Code/github.com/e-ditiones/dAlemBERT/2_TEI/TheatreClassique/ROUSSEAU_ENGAGEMENTTEMERAIRE.xml	
